Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Calorische Bovenwaarde
01-01-2023;06:00:00;01-02-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;490,979;kWh;Gevalideerd;Definitief
01-01-2023;06:00:00;01-02-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;48,127;m³;Gevalideerd;
01-02-2023;06:00:00;01-03-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;331,990;kWh;Gevalideerd;Definitief
01-02-2023;06:00:00;01-03-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;32,401;m³;Gevalideerd;
01-03-2023;06:00:00;01-04-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;351,064;kWh;Gevalideerd;Definitief
01-03-2023;06:00:00;01-04-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;34,468;m³;Gevalideerd;
01-04-2023;06:00:00;01-05-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;272,437;kWh;Gevalideerd;Definitief
01-04-2023;06:00:00;01-05-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;26,796;m³;Gevalideerd;
01-05-2023;06:00:00;01-06-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;241,460;kWh;Gevalideerd;Definitief
01-05-2023;06:00:00;01-06-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;23,724;m³;Gevalideerd;
01-06-2023;06:00:00;01-07-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;190,823;kWh;Gevalideerd;Definitief
01-06-2023;06:00:00;01-07-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;18,762;m³;Gevalideerd;
01-07-2023;06:00:00;01-08-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;196,300;kWh;Gevalideerd;Definitief
01-07-2023;06:00:00;01-08-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;19,299;m³;Gevalideerd;
01-08-2023;06:00:00;01-09-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;203,334;kWh;Gevalideerd;Definitief
01-08-2023;06:00:00;01-09-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;19,961;m³;Gevalideerd;
01-09-2023;06:00:00;01-10-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;184,617;kWh;Gevalideerd;Definitief
01-09-2023;06:00:00;01-10-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;18,144;m³;Gevalideerd;
01-10-2023;06:00:00;01-11-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;240,145;kWh;Gevalideerd;Definitief
01-10-2023;06:00:00;01-11-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;23,579;m³;Gevalideerd;
01-11-2023;06:00:00;01-12-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;712,920;kWh;Gevalideerd;Definitief
01-11-2023;06:00:00;01-12-2023;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;70,246;m³;Gevalideerd;
01-12-2023;06:00:00;01-01-2024;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;659,759;kWh;Gevalideerd;Definitief
01-12-2023;06:00:00;01-01-2024;06:00:00;="541448820059611347";7FLO2121149793;Digitale Meter;Afname;64,749;m³;Gevalideerd;
